kingdom_final,phylum_final,class_final,order_final,family_final,sciname_3,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. dendroideus,,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. dendroideus,,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. dendroideus,,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. traskiae,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. traskiae,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. traskiae,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. veatchii,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. veatchii,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. veatchii,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissoniopsis cheiranthifolia,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Delphinium parryi,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Dudleya virens,,,,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum var. compactum,,,,,1,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum var. compactum,,,,,1,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum var. formosum,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum var. formosum,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum var. giganteum,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. grande,,,1,1,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. rubescens,1,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. rubescens,1,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. rubescens,1,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. timorum,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. timorum,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium angustifolium subsp. angustifolium,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium angustifolium subsp. foliosum,,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium angustifolium subsp. foliosum,,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium catalinense subsp. acrispum,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium catalinense subsp. catalinense,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Lyonothamnus floribundus subsp. aspleniifolius,,,1,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Lyonothamnus floribundus subsp. aspleniifolius,,,1,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Lyonothamnus floribundus subsp. aspleniifolius,,,1,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Lyonothamnus floribundus subsp. floribundus,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malacothamnus fasciculatus var. catalinensis,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malacothamnus fasciculatus var. catalinensis,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malacothamnus fasciculatus var. nesioticus,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malva assurgentiflora subsp. assurgentiflora,1,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malva assurgentiflora subsp. glabra,,,,,,,1,1
