Sci_Name,Rosa,Cruz,Clemente,Catalina
Amsinckia menziesii,0,26,4,14
Anemopsis californica,0,32,1,29
Aristida adscensionis,0,86,39,41
Athysanus pusillus,0,52,4,9
Atriplex lentiformis,0,21,15,4
Brachypodium distachyon,0,67,13,55
Brassica rapa,0,30,4,6
Bromus catharticus,0,25,11,34
Camissoniopsis robusta,0,6,14,18
Ceanothus megacarpus var. megacarpus,0,4,11,19
Convolvulus simulans,0,11,24,13
Dactylis glomerata,0,3,1,25
Deinandra clementina,0,1,127,98
Emmenanthe penduliflora var. penduliflora,0,9,9,30
Encelia californica,0,42,36,68
Epilobium brachycarpum,0,6,2,4
Eremalche exilis,0,1,2,1
Eriastrum filifolium,0,9,3,13
Erigeron bonariensis,0,16,14,15
Erodium brachycarpum,0,4,8,33
Euphorbia maculata,0,5,8,6
Euphorbia misera,0,3,19,7
Euphorbia spathulata,0,2,9,21
Ficus carica,0,5,6,9
Glebionis coronaria,0,3,17,3
Gnaphalium palustre,0,25,20,35
Helianthus annuus,0,12,7,3
Hesperocnide tenella,0,16,15,14
Hordeum murinum subsp. glaucum,0,18,16,33
Lepidium latipes,0,55,4,10
Lepidium virginicum subsp. menziesii,0,35,7,19
Logfia arizonica,0,4,45,52
Marah fabacea,0,42,9,4
Melilotus albus,0,6,10,15
Mentzelia affinis,0,4,19,2
Navarretia hamata subsp. leptantha,0,8,19,96
Nicotiana glauca,0,27,5,35
Opuntia ficus-indica,0,1,2,1
Opuntia oricola,0,5,5,3
Oxalis corniculata,0,8,6,5
Oxalis pes-caprae,0,6,6,16
Pelargonium x hortorum,0,6,2,15
Phalaris caroliniana,0,2,10,2
Phalaris paradoxa,0,1,27,22
Pholistoma auritum var. auritum,0,50,39,37
Pholistoma racemosum,0,56,70,81
Phyla nodiflora,0,4,4,4
Phyllospadix scouleri,0,24,9,8
Plagiobothrys collinus var. gracilis,0,39,30,42
Polycarpon depressum,0,1,1,5
Polygonum argyrocoleon,0,1,15,27
Quercus chrysolepis,0,83,18,28
Rumex conglomeratus,0,16,8,52
Salsola australis,0,16,12,6
Schismus arabicus,0,4,10,56
Schismus barbatus,0,56,4,12
Sibara filifolia,0,3,10,20
Stellaria pallida,0,2,7,3
Stephanomeria diegensis,0,8,33,16
Tamarix ramosissima,0,33,5,16
Thysanocarpus curvipes,0,34,10,7
Tragopogon porrifolius,0,18,12,9
Typha latifolia,0,4,10,30
Yabea microcarpa,0,35,3,54
