latitude,longitude,locality 
34.00631,-119.400584,Anacapa Island
34.00631,-119.400584,"Anacapa Island, Channel Islands National Park"
34.00631,-119.400584,"Anacapa Island, MC-21"
34.00631,-119.400584,"Anacapa Island, Small rock off"
34.00631,-119.400584,"Anacapa Island, Area #3"
34.00631,-119.400584,"Anacapa Island, Area 1a"
34.00631,-119.400584,"Anacapa Island, Area 3"
34.00631,-119.400584,"Anacapa Island, Area 3a"
34.00631,-119.400584,"Anacapa Island, Area 6"
34.00631,-119.400584,"Anacapa Island, Area 6a"
34.018669,-119.725097,Santa Cruz Island
34.018669,-119.725097,Santa Cruz Islands
32.917716,-118.478093,San Clemente Island
32.917716,-118.478093,"San Clemente Island, 60 miles off coast"
32.917716,-118.478093,"column of rock in sea, San Clemente Island"
33.476954,-119.037779,Santa Barbara Island
33.388934,-118.454436,Santa Catalina Island
33.476133,-119.037426,Santa Barbara Island
33.964917,-120.108615,Santa Rosa Island
33.964917,-120.108615,Santa Rosa Park
33.250054,-119.505645,San Nicolas Island
33.250054,-119.505645,San Nicholas Island
34.00631,-119.400584,"Middle Anacapa Island, Cave D"
34.00631,-119.400584,"West Anacapa Island, Cave N"
34.00631,-119.400584,"Anacapa Island, Top of Big Canyon"
34.00631,-119.400584,"Anacapa Island, top of Big Canyon"
34.018669,-119.725097,"Santa Cruz Island, Dry Sandy Beach Cave"
34.018669,-119.725097,"Santa Cruz Island, MarMan Ranch"
34.018669,-119.725097,"Santa Cruz Island, Detached Rock"
34.018669,-119.725097,"Santa Cruz Island, Dick's Bay"
32.917716,-118.478093,"Cave Creek, San Clemente Island"
32.917716,-118.478093,San Clemente Island horse ranch
32.917716,-118.478093,"0.5 kilometers east of Norton Canyon Mouth, San Clemente Island"
32.917716,-118.478093,"China Canyon, San Clemente Island"
32.917716,-118.478093,"Mouth of Box Canyon, San Clemente Island"
32.917716,-118.478093,"Upper China Canyon, west San Clemente Island"
33.388934,-118.454436,"Pinnacle Rock, Santa Catalina Island"
33.388934,-118.454436,"Dairy canyon, Santa Catalina Island"
33.476133,-119.037426,"Santa Barbara Island, XAMU Nest Site #X106"
33.476133,-119.037426,"Santa Barbara Island, XAMU Nest Site #X111"
33.476133,-119.037426,"Santa Barbara Island, XAMU Nest Site #X21"
