locality_latlong,Freq,island,latitude,longitude,locality,year,taxa
34.039722-120.374444,113,San Miguel,34.039722,-120.374444,San Miguel Island,1978,amphibian
34.039722-120.374444,113,San Miguel,34.039722,-120.374444,NA,1903,amphibian
34.0042642-119.7339664,104,Santa Cruz,34.0042642,-119.7339664,"Santa Cruz Is, Calif",1913,amphibian
34.0042642-119.7339664,104,Santa Cruz,34.0042642,-119.7339664,Santa Cruz Isl Cal,NA,amphibian
34.0042642-119.7339664,104,Santa Cruz,34.0042642,-119.7339664,Santa Cruz Island,1930,amphibian
34.0042642-119.7339664,104,Santa Cruz,34.0042642,-119.7339664,Calif: Sta Cruz Id,1913,amphibian
33.96598158-120.1101235,63,Santa Rosa,33.96598158,-120.1101235,"Santa Rosa Island, Channel Islands",1950,amphibian
33.385833-118.429722,53,Santa Catalina,33.385833,-118.429722,NA,1914,amphibian
33.96895549-120.1106815,36,Santa Rosa,33.96895549,-120.1106815,Santa Rosa Island,1932,amphibian
33.96895549-120.1106815,36,Santa Rosa,33.96895549,-120.1106815,"Santa Rosa Island, W of Santa Cruz Island",1892,amphibian
33.95-120.1,25,Santa Rosa,33.95,-120.1,NA,1913,amphibian
33.969-120.11033,17,Santa Rosa,33.969,-120.11033,Santa Rosa Island,1948,amphibian
34.00457363-119.3929398,14,Anacapa,34.00457363,-119.3929398,"Anacapa Island, Channel Islands",1950,amphibian
34.016667-119.716667,94,Santa Cruz,34.016667,-119.716667,NA,1919,amphibian
34.01043926-119.4214965,110,Anacapa,34.01043926,-119.4214965,West Anacapa Island,1941,amphibian
33.96895549-120.1106815,36,Santa Rosa,33.96895549,-120.1106815,"Santa Rosa Island, near Vale Ranch",1931,amphibian
33.98829-120.0273,31,Santa Rosa,33.98829,-120.0273,"Santa Rosa Island, Becher's Bay",1941,amphibian
34.00457363-119.3929398,14,Anacapa,34.00457363,-119.3929398,"Anacapa Island [Middle], Channel Islands",1950,amphibian
34.00457363-119.3929398,14,Anacapa,34.00457363,-119.3929398,"cistern on trail at landing, Anacapa Island [Middle]",1978,amphibian
