latitude,longitude,locality,taxa
32.90912295,-118.5030588,"San Clemente Is,Calif",reptile
32.90912295,-118.5030588,San Clemente Id Calif,reptile
32.90912295,-118.5030588,San Clemente I Cal,reptile
32.90913,-118.50242,San Clemente Island,reptile
32.90911899,-118.4971066,San Clemente Island,reptile
32.90909795,-118.5026348,San Clemente Island,reptile
32.87531521,-118.4685007,San Clemente Id; Middle Ranch 1550',reptile
32.9,-118.5,between dunes and shore dunes,reptile
32.9,-118.5,"abandoned station at """"""""Stone""""""""""""",reptile
32.9,-118.5,San Clemente Island,reptile
32.88999868,-118.4806341,SAN CLEMENTE ISLAND,reptile
32.88,-118.505833,NA,reptile
32.900036,-118.500912,SAN CLEMENTE ISLAND,reptile
32.890335,-118.48661,NA,reptile
32.89034163,-118.4863292,"San Clemente Id,California",reptile
33.25,-119.508333,NA,reptile
33.2502,-119.498,San Nicolas Island,reptile
33.24770886,-119.5041426,San Nicolas Island,reptile
33.249444,-119.499444,San Nicolas Island,reptile
33.40043365,-118.4557455,Santa Catalina Id.,reptile
33.40043365,-118.4557455,Santa Catalina Island,reptile
33.39617281,-118.4505753,"Santa Catalina Island, Channel Islands",reptile
33.385833,-118.429722,NA,reptile
33.40045,-118.45511,Santa Catalina Island,reptile
33.40045,-118.45511,NO DISPONIBLE,reptile
33.40038365,-118.4556385,Santa Catalina Island,reptile
33.40038365,-118.4556385,Catalina Island (= Santa Catalina Island),reptile
33.40038365,-118.4556385,Santa Catalina,reptile
33.401017,-118.449854,CATALINA ISLAND,reptile
33.475556,-119.035278,NA,reptile
33.4764374,-119.0349553,Santa Barbara Id.,reptile
33.47777,-119.03439,Santa Barbara Island,reptile
33.47577742,-119.0346523,Santa Barbara Island,reptile
33.95,-120.1,NA,reptile
33.95,-120.1,Santa Rosa Island,reptile
33.969,-120.11033,Santa Rosa Island,reptile
33.969,-120.11033,Santa Rosa Island; central part of,reptile
33.96896049,-120.1110115,Santa Rosa Island,reptile
34.016667,-119.716667,NA,reptile
34.016667,-119.716667,Santa Cruz Island,reptile
34.0042642,-119.7339664,Santa Cruz Island,reptile
34.0042642,-119.7339664,Calif.Sta Cruz Id,reptile
34.0042642,-119.7339664,Sta Cruz Ids,reptile
34.003105,-119.734062,"Calif,Sta Cruz Id",reptile
34.0042572,-119.7336734,Santa Cruz Island,reptile
34.0042572,-119.7336734,"Santa Cruz Island, S of Santa Barbara Channel",reptile
34.00457363,-119.3929398,"Anacapa Island, Channel Islands",reptile
34.004444,-119.398611,NA,reptile
34.039722,-120.374444,NA,reptile
34.039722,-120.374444,San Miguel Island,reptile
34.03775162,-120.3736881,San Miguel Island,reptile
34.03785,-120.3729,San Miguel Island,reptile
32.90912295,-118.5030588,San Clemente Id; Head of Cave Canyon,
32.9,-118.5,0.75 miles sw of old airfield,
32.9,-118.5,microwave station on Mount Thirst,
32.9,-118.5,above ranger quonset on est shore,
32.9,-118.5,dump at Lemon Tank,
34.00457363,-119.3929398,"Anacapa Island [Middle], Channel Islands",
34.004444,-119.398611,Anacapa Island; Middle Island,
