"","Family","CalIBIS","iNaturalist","LACM","Sum","Percentage"
"1","Acrididae",37,131,175,343,0.559543230016313
"2","Anostostomatidae",0,5,5,10,0.0163132137030995
"3","Diapheromeridae",0,0,1,1,0.00163132137030995
"4","Eumastacidae",0,1,0,1,0.00163132137030995
"5","Gryllidae",9,28,36,73,0.119086460032626
"6","Mogoplistidae",0,4,0,4,0.0065252854812398
"7","Myrmecophilidae",0,1,0,1,0.00163132137030995
"8","Rhaphidophoridae",0,10,7,17,0.0277324632952692
"9","Stenopelmatidae",2,32,6,40,0.065252854812398
"10","Tetrigidae",0,0,31,31,0.0505709624796085
"11","Tettigoniidae",1,30,4,35,0.0570962479608483
"12","Trigonidiidae",0,0,1,1,0.00163132137030995
